url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,year,month
https://www.billboard.com/charts/hot-100/2018-02-24,2018-02-24,67,Paramedic!,SOB X RBE,Paramedic!SOB X RBE,1,,67,1,2018,2
https://www.billboard.com/charts/hot-100/2018-12-15,2018-12-15,67,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A HeartMark Ronson Featuring Miley Cyrus,1,,67,1,2018,12
https://www.billboard.com/charts/hot-100/2019-01-05,2019-01-05,67,All My Friends,21 Savage,All My Friends21 Savage,1,,67,1,2019,1
https://www.billboard.com/charts/hot-100/2019-06-15,2019-06-15,67,Call You Mine,The Chainsmokers & Bebe Rexha,Call You MineThe Chainsmokers & Bebe Rexha,1,,67,1,2019,6
https://www.billboard.com/charts/hot-100/2019-07-13,2019-07-13,67,Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,1,,67,1,2019,7
https://www.billboard.com/charts/hot-100/2019-08-17,2019-08-17,67,Queen Of Mean,Sarah Jeffery,Queen Of MeanSarah Jeffery,1,,67,1,2019,8
https://www.billboard.com/charts/hot-100/2019-09-07,2019-09-07,67,Death By A Thousand Cuts,Taylor Swift,Death By A Thousand CutsTaylor Swift,1,,67,1,2019,9
https://www.billboard.com/charts/hot-100/2019-12-28,2019-12-28,67,Dirty Iyanna,YoungBoy Never Broke Again,Dirty IyannaYoungBoy Never Broke Again,1,,67,1,2019,12
https://www.billboard.com/charts/hot-100/2020-02-01,2020-02-01,67,Premonition (Intro),Eminem,Premonition (Intro)Eminem,1,,67,1,2020,2
https://www.billboard.com/charts/hot-100/2020-04-18,2020-04-18,67,Pray 4 Love,Rod Wave,Pray 4 LoveRod Wave,1,,67,1,2020,4
https://www.billboard.com/charts/hot-100/2020-06-06,2020-06-06,67,Argentina,Gunna,ArgentinaGunna,1,,67,1,2020,6
https://www.billboard.com/charts/hot-100/2021-04-17,2021-04-17,67,4 Da Gang,42 Dugg & Roddy Ricch,4 Da Gang42 Dugg & Roddy Ricch,1,,67,1,2021,4
https://www.billboard.com/charts/hot-100/2021-05-15,2021-05-15,67,Ramen & OJ,Joyner Lucas & Lil Baby,Ramen & OJJoyner Lucas & Lil Baby,1,,67,1,2021,5
https://www.billboard.com/charts/hot-100/2018-03-24,2018-03-24,68,Overnight,Logic,OvernightLogic,1,,68,1,2018,3
https://www.billboard.com/charts/hot-100/2018-06-02,2018-06-02,68,Change Lanes,Kevin Gates,Change LanesKevin Gates,1,,68,1,2018,6
https://www.billboard.com/charts/hot-100/2018-08-18,2018-08-18,68,Coffee Bean,Travis Scott,Coffee BeanTravis Scott,1,,68,1,2018,8
https://www.billboard.com/charts/hot-100/2018-12-22,2018-12-22,68,Staring At The Sky,XXXTENTACION,Staring At The SkyXXXTENTACION,1,,68,1,2018,12
https://www.billboard.com/charts/hot-100/2018-12-29,2018-12-29,68,Cozy Little Christmas,Katy Perry,Cozy Little ChristmasKaty Perry,1,,68,1,2018,12
https://www.billboard.com/charts/hot-100/2019-02-02,2019-02-02,68,Secreto,Anuel AA & Karol G,SecretoAnuel AA & Karol G,1,,68,1,2019,2
https://www.billboard.com/charts/hot-100/2019-04-27,2019-04-27,68,SOS,Avicii Featuring Aloe Blacc,SOSAvicii Featuring Aloe Blacc,1,,68,1,2019,4
