song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,rank_group
Surf City,Jan & Dean,6/15/1963,68,,68,1,Top 100
Back In My Arms Again,The Supremes,5/1/1965,68,,68,1,Top 100
Summer In The City,The Lovin' Spoonful,7/16/1966,53,,53,1,Top 100
Dirty Diana,Michael Jackson,5/7/1988,53,,53,1,Top 100
Poor Little Fool,Ricky Nelson,8/2/1958,1,,1,1,Top 10
Do I Make You Proud,Taylor Hicks,7/1/2006,1,,1,1,Top 10
Cardigan,Taylor Swift,8/8/2020,1,,1,1,Top 10
Rapstar,Polo G,4/24/2021,1,,1,1,Top 10
All You Need Is Love,The Beatles,7/22/1967,71,,71,1,Top 100
Do Wah Diddy Diddy,Manfred Mann,9/5/1964,58,,58,1,Top 100
Black & White,Three Dog Night,8/12/1972,61,,61,1,Top 100
Poor Little Fool,Ricky Nelson,9/20/1958,19,13.0,1,8,Top 50
Can't Buy Me Love,The Beatles,3/28/1964,27,,27,1,Top 50
Paperback Writer,The Beatles,6/11/1966,28,,28,1,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,10/10/2020,1,,1,1,Top 10
Montero (Call Me By Your Name),Lil Nas X,4/10/2021,1,,1,1,Top 10
Good 4 U,Olivia Rodrigo,5/29/2021,1,,1,1,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3/20/2021,4,,4,1,Top 10
Ringo,Lorne Greene,10/31/1964,62,,62,1,Top 100
Cracklin' Rosie,Neil Diamond,8/22/1970,62,,62,1,Top 100
Soldier Boy,The Shirelles,3/24/1962,63,,63,1,Top 100
Dominique,The Singing Nun (Soeur Sourire),11/9/1963,64,,64,1,Top 100
People Got To Be Free,The Rascals,7/20/1968,64,,64,1,Top 100
Don't Break The Heart That Loves You,Connie Francis,2/10/1962,66,,66,1,Top 100
(I Can't Get No) Satisfaction,The Rolling Stones,6/12/1965,67,,67,1,Top 100
Song Sung Blue,Neil Diamond,5/6/1972,67,,67,1,Top 100
Chapel Of Love,The Dixie Cups,5/2/1964,72,,72,1,Top 100
Sheila,Tommy Roe,7/28/1962,73,,73,1,Top 100
ABC,Jackson 5,3/14/1970,41,,41,1,Top 50
A Big Hunk O' Love,Elvis Presley With The Jordanaires,7/4/1959,43,,43,1,Top 50
American Woman/No Sugar Tonight,The Guess Who,3/21/1970,46,,46,1,Top 50
"Paint It, Black",The Rolling Stones,5/14/1966,48,,48,1,Top 50
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,3/18/1967,50,,50,1,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,8/3/1974,51,,51,1,Top 100
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,4/17/1965,12,,12,1,Top 50
I Feel Fine,The Beatles,12/5/1964,22,,22,1,Top 50
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,8/8/1987,37,,37,1,Top 50
I Hear A Symphony,The Supremes,10/30/1965,39,,39,1,Top 50
Help!,The Beatles,8/7/1965,41,,41,1,Top 50
"I'm Henry VIII, I Am",Herman's Hermits,7/3/1965,42,,42,1,Top 50
Hello Goodbye,The Beatles,12/2/1967,45,,45,1,Top 50
Love Is Here And Now You're Gone,The Supremes,1/28/1967,47,,47,1,Top 50
Lucy In The Sky With Diamonds,Elton John,11/30/1974,48,,48,1,Top 50
Island Girl,Elton John,10/11/1975,49,,49,1,Top 50
Hello Goodbye,Glee Cast,5/1/2010,49,,49,1,Top 50
Heartache Tonight,Eagles,10/6/1979,52,,52,1,Top 100
Eight Days A Week,The Beatles,2/20/1965,53,,53,1,Top 100
Mother-In-Law,Ernie K-Doe,3/25/1961,55,,55,1,Top 100
