song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4/13/2019,18,14.0,2,8,2019
7 Rings,Ariana Grande,2/2/2019,1,,1,1,2019
Sucker,Jonas Brothers,3/16/2019,1,,1,1,2019
Stuck With U,Ariana Grande & Justin Bieber,5/23/2020,1,,1,1,2020
Rain On Me,Lady Gaga & Ariana Grande,6/6/2020,1,,1,1,2020
Cardigan,Taylor Swift,8/8/2020,1,,1,1,2020
Positions,Ariana Grande,11/7/2020,1,,1,1,2020
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,4/3/2021,1,,1,1,2021
Rapstar,Polo G,4/24/2021,1,,1,1,2021
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2/23/2019,2,,2,1,2019
Senorita,Shawn Mendes & Camila Cabello,7/6/2019,2,,2,1,2019
Come & Go,Juice WRLD x Marshmello,7/25/2020,2,,2,1,2020
Popstar,DJ Khaled Featuring Drake,8/1/2020,3,,3,1,2020
Calling My Phone,Lil Tjay Featuring 6LACK,2/27/2021,3,,3,1,2021
"10,000 Hours",Dan + Shay & Justin Bieber,10/19/2019,4,,4,1,2019
ON,BTS,3/7/2020,4,,4,1,2020
Please Me,Cardi B & Bruno Mars,3/2/2019,5,,5,1,2019
Stupid Love,Lady Gaga,3/14/2020,5,,5,1,2020
amari,J. Cole,5/29/2021,5,,5,1,2021
Bad Guy,Billie Eilish,4/13/2019,7,,7,1,2019
Circles,Post Malone,9/14/2019,7,,7,1,2019
34+35,Ariana Grande,11/14/2020,8,,8,1,2020
Rockstar,DaBaby Featuring Roddy Ricch,5/2/2020,9,,9,1,2020
Dakiti,Bad Bunny & Jhay Cortez,11/14/2020,9,,9,1,2020
Blinding Lights,The Weeknd,12/14/2019,11,,11,1,2019
Roses,SAINt JHN,4/4/2020,55,,55,1,2020
Come & Go,Juice WRLD x Marshmello,9/12/2020,19,19.0,2,8,2020
Ran$om,Lil Tecca,8/3/2019,19,23.0,19,8,2019
Blinding Lights,The Weeknd,2/1/2020,21,32.0,11,8,2020
HIGHEST IN THE ROOM,Travis Scott,10/19/2019,1,,1,1,2019
Dynamite,BTS,9/5/2020,1,,1,1,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,10/10/2020,1,,1,1,2020
Life Goes On,BTS,12/5/2020,1,,1,1,2020
Drivers License,Olivia Rodrigo,1/23/2021,1,,1,1,2021
Montero (Call Me By Your Name),Lil Nas X,4/10/2021,1,,1,1,2021
Good 4 U,Olivia Rodrigo,5/29/2021,1,,1,1,2021
If I Can't Have You,Shawn Mendes,5/18/2019,2,,2,1,2019
I Don't Care,Ed Sheeran & Justin Bieber,5/25/2019,2,,2,1,2019
Life Is Good,Future Featuring Drake,1/25/2020,2,,2,1,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,8/29/2020,2,,2,1,2020
Forever After All,Luke Combs,11/7/2020,2,,2,1,2020
my.life,"J. Cole, 21 Savage & Morray",5/29/2021,2,,2,1,2021
Goodbyes,Post Malone Featuring Young Thug,7/20/2019,3,,3,1,2019
Godzilla,Eminem Featuring Juice WRLD,2/1/2020,3,,3,1,2020
Gooba,6ix9ine,5/23/2020,3,,3,1,2020
Holy,Justin Bieber Featuring Chance The Rapper,10/3/2020,3,,3,1,2020
Lemon Pepper Freestyle,Drake Featuring Rick Ross,3/20/2021,3,,3,1,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3/20/2021,4,,4,1,2021
Rain On Me,Lady Gaga & Ariana Grande,7/25/2020,28,16.0,1,8,2020
Roxanne,Arizona Zervas,11/16/2019,34,,34,1,2019
Save Your Tears,The Weeknd,4/4/2020,41,,41,1,2020
Circles,Mac Miller,2/1/2020,48,,48,1,2020
Talk,Khalid,2/23/2019,44,,44,1,2019
Talk,Khalid,3/2/2019,50,44.0,44,2,2019
Talk,Khalid,3/9/2019,55,50.0,44,3,2019
Talk,Khalid,3/16/2019,49,55.0,44,4,2019
Talk,Khalid,3/23/2019,42,49.0,42,5,2019
Talk,Khalid,3/30/2019,41,42.0,41,6,2019
Talk,Khalid,4/6/2019,40,41.0,40,7,2019
Talk,Khalid,4/13/2019,39,40.0,39,8,2019
Talk,Khalid,4/20/2019,18,39.0,18,9,2019
