song,performer,week_id,week_position,rank_group,year
Rapstar,Polo G,4/24/2021,1,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,4/10/2021,1,Top 10,2021
Good 4 U,Olivia Rodrigo,5/29/2021,1,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3/20/2021,4,Top 10,2021
Rapstar,Polo G,5/1/2021,1,Top 10,2021
Rapstar,Polo G,5/8/2021,4,Top 10,2021
Rapstar,Polo G,5/15/2021,6,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,4/17/2021,2,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3/27/2021,2,Top 10,2021
Rapstar,Polo G,5/22/2021,7,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/10/2021,3,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,5/1/2021,4,Top 10,2021
What's Next,Drake,3/20/2021,1,Top 10,2021
What's Next,Drake,3/27/2021,4,Top 10,2021
What's Next,Drake,4/3/2021,8,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,4/24/2021,2,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/3/2021,3,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/24/2021,3,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,5/15/2021,9,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/8/2021,2,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/1/2021,2,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,5/22/2021,10,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/15/2021,2,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/22/2021,1,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/29/2021,4,Top 10,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/17/2021,1,Top 10,2021
Montero (Call Me By Your Name),Lil Nas X,5/8/2021,7,Top 10,2021
