song,performer,week_id,week_position,year,weeks_on_chart
Stuck With U,Ariana Grande & Justin Bieber,2020-05-23,1,2020,1
Rain On Me,Lady Gaga & Ariana Grande,2020-06-06,1,2020,1
Cardigan,Taylor Swift,2020-08-08,1,2020,1
Positions,Ariana Grande,2020-11-07,1,2020,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-03,1,2021,1
Rapstar,Polo G,2021-04-24,1,2021,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-02-27,3,2021,1
Rockstar,DaBaby Featuring Roddy Ricch,2020-05-02,9,2020,1
Dynamite,BTS,2020-09-05,1,2020,1
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-10-10,1,2020,1
Life Goes On,BTS,2020-12-05,1,2020,1
Drivers License,Olivia Rodrigo,2021-01-23,1,2021,1
Montero (Call Me By Your Name),Lil Nas X,2021-04-10,1,2021,1
Good 4 U,Olivia Rodrigo,2021-05-29,1,2021,1
my.life,"J. Cole, 21 Savage & Morray",2021-05-29,2,2021,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-03-20,3,2021,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-03-20,4,2021,1
Rain On Me,Lady Gaga & Ariana Grande,2020-07-25,28,2020,8
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-06-27,81,2020,1
Say So,Doja Cat Featuring Nicki Minaj,2020-03-07,33,2020,8
Stuck With U,Ariana Grande & Justin Bieber,2020-07-11,34,2020,8
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-01-02,40,2021,8
Say So,Doja Cat Featuring Nicki Minaj,2020-01-18,95,2020,1
Save Your Tears,The Weeknd & Ariana Grande,2021-01-09,95,2021,1
Savage,Megan Thee Stallion,2020-03-28,98,2020,1
Rapstar,Polo G,2021-05-01,1,2021,2
Positions,Ariana Grande,2020-11-14,2,2020,2
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-10,2,2021,2
Rain On Me,Lady Gaga & Ariana Grande,2020-06-13,5,2020,2
Cardigan,Taylor Swift,2020-09-26,52,2020,8
Cardigan,Don Toliver,2020-03-28,90,2020,1
Say So,Doja Cat Featuring Nicki Minaj,2020-01-25,77,2020,2
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-07-04,43,2020,2
Save Your Tears,The Weeknd & Ariana Grande,2021-01-16,46,2021,2
Cardigan,Taylor Swift,2020-08-15,8,2020,2
Calling My Phone,Lil Tjay Featuring 6LACK,2021-03-06,8,2021,2
Stuck With U,Ariana Grande & Justin Bieber,2020-05-30,13,2020,2
Rockstar,DaBaby Featuring Roddy Ricch,2020-05-09,14,2020,2
Savage,Megan Thee Stallion,2020-04-04,20,2020,2
Positions,Ariana Grande,2020-11-21,2,2020,3
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-17,3,2021,3
Rapstar,Polo G,2021-05-08,4,2021,3
Calling My Phone,Lil Tjay Featuring 6LACK,2021-03-13,8,2021,3
Rockstar,DaBaby Featuring Roddy Ricch,2020-05-16,9,2020,3
Rain On Me,Lady Gaga & Ariana Grande,2020-06-20,10,2020,3
Stuck With U,Ariana Grande & Justin Bieber,2020-06-06,15,2020,3
Savage,Megan Thee Stallion,2020-04-11,18,2020,3
Save Your Tears,The Weeknd & Ariana Grande,2021-01-23,21,2021,3
Cardigan,Taylor Swift,2020-08-22,24,2020,3
The Box,Roddy Ricch,2020-01-04,13,2020,3
The Box,Roddy Ricch,2020-01-11,3,2020,4
The Box,Roddy Ricch,2020-01-18,1,2020,5
The Box,Roddy Ricch,2020-01-25,1,2020,6
The Box,Roddy Ricch,2020-02-01,1,2020,7
The Box,Roddy Ricch,2020-02-08,1,2020,8
The Box,Roddy Ricch,2020-02-15,1,2020,9
The Box,Roddy Ricch,2020-02-22,1,2020,10
The Box,Roddy Ricch,2020-02-29,1,2020,11
The Box,Roddy Ricch,2020-03-07,1,2020,12
The Box,Roddy Ricch,2020-03-14,1,2020,13
The Box,Roddy Ricch,2020-03-21,1,2020,14
The Box,Roddy Ricch,2020-03-28,1,2020,15
The Box,Roddy Ricch,2020-04-04,2,2020,16
The Box,Roddy Ricch,2020-04-11,2,2020,17
The Box,Roddy Ricch,2020-04-18,3,2020,18
The Box,Roddy Ricch,2020-04-25,3,2020,19
The Box,Roddy Ricch,2020-05-02,3,2020,20
The Box,Roddy Ricch,2020-05-09,5,2020,21
The Box,Roddy Ricch,2020-05-16,5,2020,22
The Box,Roddy Ricch,2020-05-23,7,2020,23
The Box,Roddy Ricch,2020-05-30,7,2020,24
The Box,Roddy Ricch,2020-06-06,8,2020,25
The Box,Roddy Ricch,2020-06-13,9,2020,26
The Box,Roddy Ricch,2020-06-20,9,2020,27
The Box,Roddy Ricch,2020-06-27,10,2020,28
The Box,Roddy Ricch,2020-07-04,15,2020,29
